transaction_id,company_id,type,amount,date,category,description,reference_type,reference_id,status
TX_FUT_OPS_00001,TATA001,OPERATING_EXPENSE,1650000.0,2026-08-28,SALARY,Corporate Employee Payroll,NONE,,CLEARED
TX_FUT_OPS_00002,TATA001,OPERATING_EXPENSE,120000.0,2026-09-01,RENT,Facility Rental Charge,NONE,,CLEARED
TX_FUT_OUT_00003,TATA001,SUPPLIER_PAYMENT,50394.63,2026-09-20,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0267,INVOICE,INV_FUT_0267,CLEARED
TX_FUT_IN_00004,TATA001,CUSTOMER_PAYMENT,31760.96,2026-09-22,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0365,RECEIVABLE,REC_FUT_0365,CLEARED
TX_FUT_IN_00005,TATA001,CUSTOMER_PAYMENT,226495.9,2026-09-23,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0378,RECEIVABLE,REC_FUT_0378,CLEARED
TX_FUT_IN_00006,TATA001,CUSTOMER_PAYMENT,168225.96,2026-09-24,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0368,RECEIVABLE,REC_FUT_0368,CLEARED
TX_FUT_OPS_00007,TATA001,OPERATING_EXPENSE,1650000.0,2026-09-28,SALARY,Corporate Employee Payroll,NONE,,CLEARED
TX_FUT_IN_00008,TATA001,CUSTOMER_PAYMENT,149141.05,2026-09-29,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0371,RECEIVABLE,REC_FUT_0371,CLEARED
TX_FUT_OUT_00009,TATA001,SUPPLIER_PAYMENT,21563.53,2026-09-30,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0262,INVOICE,INV_FUT_0262,CLEARED
TX_FUT_IN_00010,TATA001,CUSTOMER_PAYMENT,84627.37,2026-10-01,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0383,RECEIVABLE,REC_FUT_0383,CLEARED
TX_FUT_OPS_00011,TATA001,OPERATING_EXPENSE,120000.0,2026-10-01,RENT,Facility Rental Charge,NONE,,CLEARED
