decision_id,company_id,created_at,decision_type,chosen_action,confidence,reasoning,status,data_source
DEC5300446A,COMP001,2025-02-02,OBLIGATION_PAYMENT,PAY_NOW,0.87,"Strong liquidity (₹731,074,409); CRITICAL obligation – paying immediately.",EXECUTED,HISTORICAL
DECE331C7EF,COMP001,2025-02-09,OBLIGATION_PAYMENT,PAY_NOW,0.93,"Strong liquidity (₹899,335,817); CRITICAL obligation – paying immediately.",EXECUTED,HISTORICAL
DEC31A79864,COMP001,2025-02-17,OBLIGATION_PAYMENT,PAY_NOW,0.84,"Strong liquidity (₹981,969,223); HIGH obligation – paying immediately.",EXECUTED,HISTORICAL
DEC8636377E,COMP001,2025-02-20,OBLIGATION_PAYMENT,PAY_NOW,0.89,"Strong liquidity (₹1,069,435,575); CRITICAL obligation – paying immediately.",EXECUTED,HISTORICAL
DECB205C000,COMP001,2025-02-23,OBLIGATION_PAYMENT,PAY_NOW,0.81,"Strong liquidity (₹1,053,835,828); HIGH obligation – paying immediately.",EXECUTED,HISTORICAL
DEC26ADBBBC,COMP001,2025-03-01,OBLIGATION_PAYMENT,PAY_NOW,0.81,"Strong liquidity (₹1,095,351,427); CRITICAL obligation – paying immediately.",EXECUTED,HISTORICAL
DEC33A8F58E,COMP001,2025-03-08,OBLIGATION_PAYMENT,PAY_NOW,0.91,"Strong liquidity (₹1,267,128,984); HIGH obligation – paying immediately.",EXECUTED,HISTORICAL
DECB0CC7D4F,COMP001,2025-03-10,OBLIGATION_PAYMENT,PAY_NOW,0.81,"Strong liquidity (₹1,176,620,462); HIGH obligation – paying immediately.",EXECUTED,HISTORICAL
DEC7132C91B,COMP001,2025-03-16,OBLIGATION_PAYMENT,PAY_NOW,0.85,"Strong liquidity (₹1,296,197,044); CRITICAL obligation – paying immediately.",EXECUTED,HISTORICAL
DECF8746680,COMP001,2025-03-20,OBLIGATION_PAYMENT,PAY_NOW,0.85,"Strong liquidity (₹1,470,329,774); HIGH obligation – paying immediately.",EXECUTED,HISTORICAL
DECEAADCBDD,COMP001,2025-03-23,OBLIGATION_PAYMENT,PAY_NOW,0.82,"Strong liquidity (₹1,521,881,141); HIGH obligation – paying immediately.",EXECUTED,HISTORICAL
DEC31FBDB92,COMP001,2025-03-26,OBLIGATION_PAYMENT,PAY_NOW,0.89,"Strong liquidity (₹1,648,580,651); HIGH obligation – paying immediately.",EXECUTED,HISTORICAL
DEC070A31D2,COMP001,2025-03-27,OBLIGATION_PAYMENT,PAY_NOW,0.81,"Strong liquidity (₹1,689,260,354); HIGH obligation – paying immediately.",EXECUTED,HISTORICAL
DEC1E87F7C1,COMP001,2025-03-29,OBLIGATION_PAYMENT,PAY_NOW,0.91,"Strong liquidity (₹1,826,789,770); CRITICAL obligation – paying immediately.",EXECUTED,HISTORICAL
DEC18ABA2AB,COMP001,2025-04-06,OBLIGATION_PAYMENT,PAY_NOW,0.89,"Strong liquidity (₹2,208,695,936); HIGH obligation – paying immediately.",EXECUTED,HISTORICAL
DECC05B7437,COMP001,2025-04-15,OBLIGATION_PAYMENT,PAY_NOW,0.86,"Strong liquidity (₹2,274,946,321); CRITICAL obligation – paying immediately.",EXECUTED,HISTORICAL
DECFAD7C285,COMP001,2025-04-19,OBLIGATION_PAYMENT,PAY_NOW,0.87,"Strong liquidity (₹2,309,757,217); CRITICAL obligation – paying immediately.",EXECUTED,HISTORICAL
DECEAE7B656,COMP001,2025-04-26,OBLIGATION_PAYMENT,PAY_AT_MATURITY,0.82,Adequate cash; scheduling payment at maturity.,EXECUTED,HISTORICAL
DECF0B0B35F,COMP001,2025-04-26,OBLIGATION_PAYMENT,PAY_NOW,0.88,"Strong liquidity (₹2,546,283,695); HIGH obligation – paying immediately.",EXECUTED,HISTORICAL
DEC5A8FCA5F,COMP001,2025-05-15,OBLIGATION_PAYMENT,PAY_NOW,0.91,"Strong liquidity (₹2,779,131,424); HIGH obligation – paying immediately.",EXECUTED,HISTORICAL
DEC9D7B2572,COMP001,2025-05-22,OBLIGATION_PAYMENT,PAY_NOW,0.89,"Strong liquidity (₹3,099,029,462); CRITICAL obligation – paying immediately.",EXECUTED,HISTORICAL
DEC6E4392B6,COMP001,2025-05-22,OBLIGATION_PAYMENT,PAY_NOW,0.88,"Strong liquidity (₹3,099,029,462); CRITICAL obligation – paying immediately.",EXECUTED,HISTORICAL
DEC6276426A,COMP001,2025-05-24,OBLIGATION_PAYMENT,PAY_NOW,0.94,"Strong liquidity (₹3,144,001,744); HIGH obligation – paying immediately.",EXECUTED,HISTORICAL
DEC0FFAE293,COMP001,2025-06-11,OBLIGATION_PAYMENT,PAY_NOW,0.82,"Strong liquidity (₹3,070,430,367); CRITICAL obligation – paying immediately.",EXECUTED,HISTORICAL
DEC61838417,COMP001,2025-06-13,OBLIGATION_PAYMENT,PAY_NOW,0.8,"Strong liquidity (₹3,102,251,903); CRITICAL obligation – paying immediately.",EXECUTED,HISTORICAL
DECC851FF97,COMP001,2025-06-14,OBLIGATION_PAYMENT,PAY_NOW,0.86,"Strong liquidity (₹3,125,732,150); HIGH obligation – paying immediately.",EXECUTED,HISTORICAL
DECE3DF1C8B,COMP001,2025-06-14,OBLIGATION_PAYMENT,PAY_NOW,0.81,"Strong liquidity (₹3,125,732,150); HIGH obligation – paying immediately.",EXECUTED,HISTORICAL
DEC72DBC9B3,COMP001,2025-06-15,OBLIGATION_PAYMENT,PAY_AT_MATURITY,0.82,Adequate cash; scheduling payment at maturity.,EXECUTED,HISTORICAL
DEC221D5A9A,COMP001,2025-06-15,OBLIGATION_PAYMENT,PAY_NOW,0.86,"Strong liquidity (₹3,361,073,903); CRITICAL obligation – paying immediately.",EXECUTED,HISTORICAL
DEC72D5ADE7,COMP001,2025-06-18,OBLIGATION_PAYMENT,PAY_NOW,0.83,"Strong liquidity (₹3,396,210,888); HIGH obligation – paying immediately.",EXECUTED,HISTORICAL
